Prices (USD/bbl),Date (CDT),Time (CDT)
3.971,2021-07-30,12:48:58
3.972,2021-07-30,12:53:59
3.972,2021-07-30,12:58:59
3.973,2021-07-30,13:03:59
3.965,2021-07-30,13:10:00
3.968,2021-07-30,13:14:40
3.967,2021-07-30,13:18:54
3.967,2021-07-30,13:23:52
3.965,2021-07-30,13:29:01
3.973,2021-07-30,13:34:01
3.968,2021-07-30,13:39:01
3.971,2021-07-30,13:44:59
3.97,2021-07-30,13:48:59
3.969,2021-07-30,13:54:01
3.972,2021-07-30,13:59:01
3.971,2021-07-30,14:03:53
3.959,2021-07-30,14:08:58
3.966,2021-07-30,14:14:01
3.968,2021-07-30,14:19:57
3.98,2021-07-30,14:24:01
3.99,2021-07-30,14:29:00
3.987,2021-07-30,14:34:00
3.988,2021-07-30,14:38:57
3.986,2021-07-30,14:43:50
3.984,2021-07-30,14:48:56
3.992,2021-07-30,14:54:01
3.996,2021-07-30,14:58:57
3.993,2021-07-30,15:04:01
3.996,2021-07-30,15:09:01
3.993,2021-07-30,15:14:01
3.991,2021-07-30,15:19:01
3.989,2021-07-30,15:23:51
3.989,2021-07-30,15:28:59
3.994,2021-07-30,15:33:57
4.001,2021-07-30,15:38:54
4.001,2021-07-30,15:44:34
3.999,2021-07-30,15:48:59
3.996,2021-07-30,15:53:58
3.993,2021-07-30,15:58:55
3.994,2021-07-30,16:04:59
3.989,2021-07-30,16:08:56
3.986,2021-07-30,16:13:59
3.984,2021-07-30,16:19:00
3.987,2021-07-30,16:23:59
3.984,2021-07-30,16:29:56
3.986,2021-07-30,16:34:01
3.987,2021-07-30,16:38:51
3.992,2021-07-30,16:43:53
3.996,2021-07-30,16:48:54
3.993,2021-07-30,16:53:55
3.989,2021-07-30,17:00:01
3.987,2021-07-30,17:04:00
3.991,2021-07-30,17:09:40
3.996,2021-07-30,17:14:01
3.995,2021-07-30,17:19:00
3.993,2021-07-30,17:23:54
3.996,2021-07-30,17:28:57
3.996,2021-07-30,17:33:52
3.991,2021-07-30,17:38:52
3.994,2021-07-30,17:43:53
3.999,2021-07-30,17:48:51
3.998,2021-07-30,17:54:22
3.998,2021-07-30,18:00:00
3.994,2021-07-30,18:03:59
3.993,2021-07-30,18:08:58
4.002,2021-07-30,18:13:56
3.999,2021-07-30,18:18:58
3.998,2021-07-30,18:24:39
3.995,2021-07-30,18:28:55
3.996,2021-07-30,18:35:00
3.986,2021-07-30,18:38:55
3.985,2021-07-30,18:44:01
3.982,2021-07-30,18:49:00
3.986,2021-07-30,18:53:50
3.968,2021-07-30,18:59:01
3.972,2021-07-30,19:04:00
3.97,2021-07-30,19:09:02
3.968,2021-07-30,19:14:01
3.965,2021-07-30,19:18:59
3.965,2021-07-30,19:24:01
3.973,2021-07-30,19:28:59
3.985,2021-07-30,19:33:58
3.981,2021-07-30,19:39:01
3.974,2021-07-30,19:43:53
3.97,2021-07-30,19:49:01
3.944,2021-07-30,19:54:01
3.943,2021-07-30,19:58:59
3.941,2021-07-30,20:04:01
3.912,2021-07-30,20:09:01
3.911,2021-07-30,20:13:59
3.918,2021-07-30,20:19:01
3.914,2021-07-30,20:24:01
3.885,2021-07-30,20:29:01
3.89,2021-07-30,20:34:00
3.886,2021-07-30,20:39:01
3.888,2021-07-30,20:43:59
3.883,2021-07-30,20:49:01
3.875,2021-07-30,20:54:00
3.891,2021-07-30,20:59:01
3.901,2021-07-30,21:04:01
3.896,2021-07-30,21:09:01
3.889,2021-07-30,21:13:59
3.886,2021-07-30,21:19:01
3.884,2021-07-30,21:24:01
3.878,2021-07-30,21:29:01
3.87,2021-07-30,21:34:00
3.869,2021-07-30,21:38:59
3.865,2021-07-30,21:44:01
3.869,2021-07-30,21:49:00
3.866,2021-07-30,21:54:00
3.865,2021-07-30,21:59:00
3.864,2021-07-30,22:04:00
3.874,2021-07-30,22:09:01
3.878,2021-07-30,22:14:00
3.892,2021-07-30,22:19:01
3.887,2021-07-30,22:24:01
3.895,2021-07-30,22:28:57
3.885,2021-07-30,22:34:01
3.88,2021-07-30,22:38:57
3.88,2021-07-30,22:43:54
3.881,2021-07-30,22:48:56
3.885,2021-07-30,22:54:01
3.882,2021-07-30,22:58:59
3.886,2021-07-30,23:03:56
3.887,2021-07-30,23:09:00
3.889,2021-07-30,23:13:58
3.895,2021-07-30,23:19:01
3.888,2021-07-30,23:24:54
3.889,2021-07-30,23:28:58
3.882,2021-07-30,23:33:59
3.889,2021-07-30,23:38:59
3.891,2021-07-30,23:43:51
3.891,2021-07-30,23:48:58
3.89,2021-07-30,23:53:52
3.889,2021-07-30,23:58:58
3.903,2021-07-31,00:03:58
3.908,2021-07-31,00:09:00
3.899,2021-07-31,00:13:57
3.9,2021-07-31,00:19:01
3.898,2021-07-31,00:24:01
3.898,2021-07-31,00:28:58
3.891,2021-07-31,00:33:58
3.891,2021-07-31,00:38:57
3.893,2021-07-31,00:44:00
3.888,2021-07-31,00:49:00
3.889,2021-07-31,00:54:01
3.884,2021-07-31,00:58:56
3.885,2021-07-31,01:03:59
3.896,2021-07-31,01:08:59
3.903,2021-07-31,01:13:56
3.903,2021-07-31,01:18:58
3.904,2021-07-31,01:23:51
3.914,2021-07-31,01:29:01
3.921,2021-07-31,01:34:01
3.927,2021-07-31,01:39:01
3.924,2021-07-31,01:43:57
3.919,2021-07-31,01:48:57
3.92,2021-07-31,01:55:01
3.918,2021-07-31,01:58:59
3.92,2021-07-31,02:04:01
3.924,2021-07-31,02:09:01
3.922,2021-07-31,02:14:01
3.924,2021-07-31,02:19:01
3.925,2021-07-31,02:24:57
3.924,2021-07-31,02:29:01
3.924,2021-07-31,02:34:56
3.925,2021-07-31,02:39:01
3.931,2021-07-31,02:43:59
3.932,2021-07-31,02:49:54
