Prices (USD/bbl),Date (CDT),Time (CDT)
73.59,2021-07-30,01:35:01
73.61,2021-07-30,01:40:01
73.6,2021-07-30,01:45:01
73.58,2021-07-30,01:51:00
73.57,2021-07-30,01:55:01
73.62,2021-07-30,02:00:01
73.59,2021-07-30,02:05:58
73.59,2021-07-30,02:10:01
73.58,2021-07-30,02:15:58
73.6,2021-07-30,02:20:31
73.63,2021-07-30,02:26:00
73.6,2021-07-30,02:31:01
73.6,2021-07-30,02:36:00
73.63,2021-07-30,02:40:53
73.61,2021-07-30,02:45:49
73.61,2021-07-30,02:50:45
73.62,2021-07-30,02:56:01
73.61,2021-07-30,03:00:49
73.62,2021-07-30,03:06:01
73.54,2021-07-30,03:10:59
73.55,2021-07-30,03:15:55
73.51,2021-07-30,03:20:01
73.51,2021-07-30,03:25:01
73.49,2021-07-30,03:30:01
73.4,2021-07-30,03:35:58
